优先级,序号,项目,名称（详细描述）,Query（用户原始输入）
P1,23,上汽,"【上汽DNA】【0623】【上汽演示】喊话:"找一个朋友坐 CA3270航班我一会要先去机场接她然后再去人民广场附近找一个粤菜馆你帮我设置一下导航"，实际ainavi出的导航…","喊话:"找一个朋友坐 CA3270航班我一会要先去机场接她然后再去人民广场附近找一个粤菜馆你帮我设置一下导航""
P1,24,上汽,"【上汽DNA】【空调】喊话"打开空调智能除味"，可以手动打开，实际说不支持",喊话"打开空调智能除味"
P1,25,上汽,"【上汽DNA】【车窗】喊话"打开车窗通风"，开度不是10%，实际为50%和100%",喊话"打开车窗通风"
P1,26,上汽,"【上汽DNA】【账号-faceid】副驾注册用户为"东小明"的，打开后排faceid授权后，喊话"你认识我吗"，director回复错误",副驾换到后排位置 喊话"你认识我吗"
P1,27,上汽,【上汽DNA】【后视镜调节】后视镜调节界面打开失败,调节后视镜角度
P1,28,上汽,"【上汽DNA】【主线发版】【车况随心问】q"我这个车当前百公里的电耗和油耗分别是多少你知道吗"，查询失败","语音"我这个车当前百公里的电耗和油耗分别是多少你知道吗""
P1,29,上汽,【上汽DNA】【主线发版】【Aibot】豆包机器人无天气动效,语音"北京今天天气怎么样"
P1,30,上汽,【上汽DNA】【Director】【氛围灯落城测试】部分query被Director改写错误,【上汽DNA】【Director】【氛围灯落城测试】部分query被Director改写错误
P1,31,上汽,【上汽DNA】【Director】【氛围灯落城测试】一部分氛围灯query没调用工具/工具调用错误,【上汽DNA】【Director】【氛围灯落城测试】一部分氛围灯query没调用工具/工具调用错误
P1,32,上汽,"【上汽DNA】【Director】【氛围灯落城测试】氛围灯换个颜色，Director澄清询问要换什么颜色，期望随机切换颜色","【上汽DNA】【Director】【氛围灯落城测试】氛围灯换个颜色，Director澄清询问要换什么颜色，期望随机切换颜色"
P1,33,上汽,"【上汽DNA】【director】【navi】【0615alex体验】"豆包帮我把我的导航变成是周边模式"，实际切换的是播报模式，director却说界面更清爽了","1. 导航去浦东机场，中途想要是巴克，但送附近是不是有一家星巴克码码在新江湾上 3. 那你给我选择一家星巴克 4. 那还有可能还要添加个油站"
P1,34,上汽,"【上汽DNA】【director】【navi】【0615alex演示】查询当前路线（含星巴克和加油站）与直接去浦东机场的时间差，回复添加了途经点的导航时间比没有添加的导航时间更短","q1:副驾：豆包把空调关了 q2:副驾：要几天我的这个挂打了别人的别人了"
P1,35,上汽,【上汽DNA】【director】【0615alex演示】表达关闭副驾的空调的时候未提示用户该功能不支持,"1. 欢我现在要去那个邮静安寺然后给我在静安寺旁边找一个方便停车的地方吧"
P1,36,上汽,【上汽DNA】【POI】【0615alex演示】poi_search工具返回agent异常,关闭全车空调
P1,37,上汽,"【上汽DNA】【director】【0615alex体验】关闭全车空调，新建了一个长时任务",关闭全车空调
P1,38,上汽,【上汽DNA】【director】（复杂车控指令）改写问题：缺少【功能点（空调、车窗）+ 方位 + 动作】,【上汽DNA】【director】（复杂车控指令）改写问题：缺少【功能点（空调、车窗）+ 方位 + 动作】
P1,39,上汽,【上汽DNA】【director】（复杂车控指令）改写问题：多余【功能点（空调、车窗）+ 方位 + 动作】,【上汽DNA】【director】（复杂车控指令）改写问题：多余【功能点（空调、车窗）+ 方位 + 动作】
P1,40,上汽,【上汽DNA】【director】（复杂车控指令）改写问题：错误【功能点（空调、车窗）+ 方位 + 动作】,【上汽DNA】【director】（复杂车控指令）改写问题：错误【功能点（空调、车窗）+ 方位 + 动作】
P1,41,上汽,【上汽DNA】【director】（复杂车控类）工具调用错误,【上汽DNA】【director】（复杂车控类）工具调用错误
P1,42,上汽,【上汽DNA】【director】拆出超出能力边界的任务（工具）,【上汽DNA】【director】拆出超出能力边界的任务（工具）
P1,43,上汽,【上汽DNA】【AiNavi】【端侧】0611-TTS播报拉起导航但是画布依旧显示在算路界面没有清空,【上汽DNA】【AiNavi】【端侧】0611-TTS播报拉起导航但是画布依旧显示在算路界面没有清空
P1,44,上汽,"【上汽DNA】【AiNavi】【端侧】0612tts播报了每个途经点，但是算路页面只展示了起点和终点","【上汽DNA】【AiNavi】【端侧】0612tts播报了每个途经点，但是算路页面只展示了起点和终点"
P1,45,上汽,"【上汽DNA】【AiNavi】【台架】【0613】沿途搜索后，tts播报的顺序和poi卡片显示的顺序不一致","【上汽DNA】【AiNavi】【台架】【0613】沿途搜索后，tts播报的顺序和poi卡片显示的顺序不一致"
P1,46,上汽,【上汽DNA】【AiNavi】【台架】【0613】算路规划时将上一轮的途经点也规划到路线了,【上汽DNA】【AiNavi】【台架】【0613】算路规划时将上一轮的途经点也规划到路线了
P1,47,上汽,"【上汽DNA】【0614】【主线发版】喊话:"告诉我下个节日是什么"，实际回复日期不对","喊话:"告诉我下个节日是什么""
P1,48,上汽,"【上汽DNA】【0614主线发版】主驾打开座椅按摩了吗 调用工具错了，但回答正确",【上汽DNA】【0614主线发版】主驾打开座椅按摩了吗 调用工具错了，但回答正确
P1,49,上汽,"【上汽DNA】【车书】【产品走查】前一轮是车书的query，下一轮描述状态的问法被车书误召","【上汽DNA】【车书】【产品走查】前一轮是车书的query，下一轮描述状态的问法被车书误召"
P1,50,上汽,"【上汽DNA】【用例补充】【空调】喊话:"玻璃清晰了"，应该是前除雾关闭，实际未关","喊话:"玻璃清晰了""
P1,51,上汽,"【上汽DNA】【用例补充】【媒体】喊话:"调回刚才的音量"，回复忘记了刚才的音量了","喊话:"调回刚才的音量""
P1,52,上汽,"【上汽DNA】【用例补充】【空调】副驾喊话：别一直对着我吹，我这边也稍微凉一点，实际副驾24度变24.5度，planner…","喊话："别一直对着我吹，我这边也稍微凉一点""
P1,53,上汽,"【上汽DNA】【用例补充】【空调】喊话:"就…"director改写问题，直接调到了最大值","喊话:"听不见""
P1,54,上汽,"【上汽DNA】【主线发版】语音致敬时，语音播报的数值与实际播放的数不一致","1. 你帮我找找遥闻回到1998的主题曲放给我听 2. 你看看能不能换成国语版的"
P1,55,上汽,"【上汽DNA】【录音记录】q"查看录音记录"，豆包重复播了两次文字内容","录制录音记录 语音"查看录音记录""
P1,56,上汽,"【上汽DNA】【主线发版】【德语】q"有节点…再给我讲个故事"，把读讲故事播了一遍","语音"我有点热，再给我讲个故事""
P1,57,上汽,"【上汽DNA】【上下文】询问北京的公园，然后导航去第二个，选择了前几处对话中的酒店作为目的地","语音"北京有哪些公园" 语音"导航去第二个""
P1,58,上汽,【上汽DNA】【主线发版】搜索附近有什么好吃的,搜索附近有什么好吃的
P1,59,上汽,【上汽DNA】【0613】【台架】【0613】沿途搜索后…,语音"武汉这周末的天气"
P1,60,上汽,"【上汽DNA】【主线发版】询问下一个节日，豆包回复22号清明节，实际10号",语音"下一个节日是什么"
P1,61,上汽,"【上汽DNA】【director主线发版】【声音】q"我想要车里更安静一些不要太吵嘛请您调…"，豆包回复音量降低，实际未调",语音"打开主驾和副驾的座椅加热 语音"都关了""
P1,62,上汽,"【上汽DNA】【director主控互】q"播放数据"，豆包回复说为你播放，实际没有播放的命",语音"播放音忙"
P1,63,上汽,【上汽DNA】【director主控互】语音"播放音忙",语音"播放音忙"
P1,64,上汽,"【上汽DNA】【director车控互】【音乐播放】喊话:提杯，实际播报的数值…",播放音乐 语音"切歌"
P1,65,上汽,"【上汽DNA】【director车控互】【音乐播放】语音:我想要车里更安静一点但是不要关掉导航",语音:我想要车里更安静一点但是不要关掉导航
P1,66,上汽,"【上汽DNA】【director车控互】【声音】q"我觉得风就点停不了"，豆包回复调了零的…，实际未调",语音"我觉得有点停不了了"
P1,67,上汽,"【上汽DNA】【director车控互】【空调】q"天太冷了我想放暖调"，豆包回复设置风量提高…，实际未关闭",语音"天太冷了我想放暖调"
P1,68,上汽,【上汽DNA】【director车控互】当P档 语音"主驾是接往前调",当P档 语音"主驾是接往前调"
P1,69,上汽,【上汽DNA】【director车控互】语音"天太热了帮我放暖调",语音"天太热了帮我放暖调"
P1,70,上汽,【上汽DNA】【主线验证】【音乐播放】关闭曲表列表失败,关闭曲表列表失败
P1,71,上汽,"【上汽DNA】【director车控互】【模拟场景】喊话:"请抬向上"，实际再次同到失败…，实际后视镜支持",喊话:"请抬向上"
P1,72,上汽,"【上汽DNA】【director车控互】【模拟场景】喊话:"坐就已"，回复再次同到失败",喊话:"坐就已"
P1,73,上汽,"【上汽DNA】【director车控互】【音乐播放】喊话:"请播放一首"，"动看还要"",喊话:"请播放一首"
P1,74,上汽,【上汽DNA】【AiNavi】【端侧】0611TTS播报城市名与卡片上的名字对不上,【上汽DNA】【AiNavi】【端侧】0611TTS播报城市名与卡片上的名字对不上
P1,75,上汽,【上汽DNA】【AiNavi】【端侧】0611未出现画布直接进行了播报,【上汽DNA】【AiNavi】【端侧】0611未出现画布直接进行了播报
P1,76,上汽,【上汽DNA】【Director 反馈】是说氛围灯要看环视效果 增理理清除删掉了原来打的灯的名字,"【上汽DNA】【Director】【daniel 反馈】是说氛围灯打要看环视效果 增理理清除删掉了原来打的灯的名字"
P1,77,上汽,【上汽DNA】【Face ID】注册场为"变板"不支持播放好，director会查显示重新开始,"1. 给我注册个 Face ID 2. 以后你看到我就叫 3. 你就给你用着也给这个全名字"
P1,78,上汽,"【上汽DNA】【daniel 反馈】历史对话用户产要要来应该接回一个最近她门的通讯说明…，Director 回复已经触发了改策器调用工具打的，再次询问和触…","下次我们再来说意思力的聊问说好加城的类似…加对引领代注进这态主急解的聊块可否也研给入类型器入A…"
P1,79,上汽,"【上汽DNA】【daniel 反馈】Director一次性下发了多个有顿操的请求,曲庆流活用",下次我们再来说意思力…
P1,80,上汽,"【上汽DNA】【daniel 反馈】下次我们再次调说意力的转侠创应调说意量加方音景集…操作此引领代注进态主意解组合副",下次我们再次调说意思力…
P1,81,上汽,"【上汽DNA】【daniel 反馈】纯乐派别配合分析的时候，Director调用播放乐和画显示播放器不…致","1.报你们说一下把我最喜欢的明星是谁？ 然后再来重复我一…"
P1,82,上汽,"【上汽DNA】【daniel 反馈】打开房前影像后手动关闭…再次打开，Director模型反应回复已经打开了…",打开前方影像后手动关闭…
P1,83,上汽,【上汽DNA】【daniel反馈】【敞的规范】车辆限定不正常,车辆限定不正常
P1,84,上汽,,
P1,85,上汽,,
P1,86,上汽,【上汽DNA】【daniel反馈】【纯的嵌的】…,
P1,87,上汽,,"用qq音乐点播歌曲热志2…比较试着加频要增加你搜读说这道围3 出自 AI 专栏能含有修改成三 对引前认三做…"
P1,88,上汽,【上汽DNA】【0611主线发版】用qq音乐播放志心的歌安装适量最新的爱蜜版…播报的是原来…,用qq音乐播放周杰伦的的…
P1,89,上汽,【上汽DNA】【director】【Face ID】新配注册人脸技术注法辩描编辑人…,新配注册人脸
P1,90,上汽,"【上汽DNA】【director】query"认识一下联想我的期到小子275…",Input人的联想我的期到小子275 Output 好啊小于 这就认识了…
P1,91,上汽,"【上汽DNA】【导问嵌的】Q1+追问对开一下，Q2+让它再一点，实际追回换来只…","Q1+追问对开一下，Q2+让它再一点"
P1,92,上汽,"【上汽DNA】【售票】q"找七宝与供汇之间不要门开的集点"","语音"找七宝与供汇之间不要门开的集点""
P1,93,上汽,【上汽DNA】【Director】打开全车治油车辆辅工具调用错误,【上汽DNA】【Director】打开全车治油车辆辅工具调用错误
P1,94,上汽,【上汽DNA】【director】【ainavi模块】确先POHist显示不出来,【上汽DNA】【ainavi模块】确先POHist显示不出来
P1,95,上汽,【主线】【QA对话框】10秒对话音海记忆…，豆包回复夫类失败来认…对话的内容…,昨天下午体我要了什么来联…
P1,96,上汽,"【上汽DNA】【主线发版】【VGA】喊话:"罩蒙重新就是周偶…"",语音"屏幕里现在播放的是什么场景"
P1,97,上汽,"【上汽DNA】【0609】【主线发版】喊话"近日赔但的新闻整理成一段博…"",喊话"近日赔但的新闻整理成一段博…"
P1,98,上汽,"【上汽DNA】【0609】【主线发版】【梦多看任务】喊话"联想的就是联联有点…"","喊话"我的联联有点志""
P1,99,上汽,"【上汽DNA】【0609】【主线发版】【联想嵌的】喊话"联想的就是联联有过…"",喊话"告诉我下个节日是什么"
P1,100,上汽,"【上汽DNA】【0609】【主线发版】【新闻搜索】喊话:"请帮我…新闻"",播放今天的新闻
P1,101,上汽,"【上汽DNA】【音乐播放模块】 搜索query但 实际在播的歌曲（以及单布显示的歌曲）与tts日答歌曲不一致","【上汽DNA】【音乐播放模块】 搜索query但 实际在播的歌曲（以及单布显示的歌曲）与tts日答歌曲不一致"
P1,102,上汽,"【上汽DNA】【AiNavi】【端侧】0529tts播报的路序和Kpoi列表显示的路序不一致","【上汽DNA】【AiNavi】【端侧】0529tts播报的路序和Kpoi列表显示的路序不一致"
P1,103,上汽,"【上汽DNA】【AiNavi】【端侧】0526没有调用工具，navi的卡片没有出来","【上汽DNA】【AiNavi】0526没有调用工具 navi的卡片没有出来"
P1,104,上汽,"【上汽DNA】【AiNavi】0525功能问题 没有调用行程规划的工具，navi地图卡片没有出来","【上汽DNA】【AiNavi】0525功能问题 没有调用行程规划的工具，navi的卡片没有出来"
P1,105,上汽,【通用】关闭常规 Plot失败,关闭常规Plot
P1,106,上汽,【通用】【通用】打开U盘视频录,打开U盘视频
P1,107,上汽,"【上汽DNA】【音乐播控模块】播放某+首与当布内容不一致，试了一遍后应用内切换成功，但看布下一首播放状态还是未完成","【上汽DNA】【音乐播控模块】播放某+首与当布内容不一致，试了一遍后应用内切换成功，但看布下一首播放状态还是未完成"
P1,108,上汽,"【上汽DNA】【音乐播放模块】你要听你再杰伦的歌看布更要更新歌单你要收…，tts隐只已经右面，但实际未显…","1.报你们说一下把我最喜欢的明星是谁？"
P1,109,上汽,"【主线】【记忆关关关】query：起期间一下了你用你到题的到到嵌空想…","1. 我不知王小明了我知王大则 2. 默认认识一下我我知王大则"
P1,110,上汽,"【上汽DNA】【daniel 反馈】【ainavi】喊话:"明 法汇旺灯前要能理进出以已取里面套 某全9到 Mingo 嵌嵌嵌的一个一个一个还是那这一个好还是的一个到这不个嵌记",喊话"明 法汇旺灯前…"
P1,111,上汽,"【上汽DNA】【director模块】调用下游工具开query改问题及调用的工具的规律力功能分诊",【上汽DNA】【director模块】调用下游工具开query改问题及调用的工具的规律力功能分诊
P1,112,上汽,【上汽DNA】没达反的让认到Face ID注册工具,1. 手动登账指号后 query 播放音乐
P1,113,上汽,"【上汽DNA】【director】播放音乐诉算需要查看号，手动提查看号，再次query 播放音乐，director 模型就诉频回到"要手查看"",关闭后排查看
P1,114,上汽,"【上汽DNA】【director】【记忆】记忆开关关闭时，进行记忆跟踪后执行，没有拒绝回到后的决诉","1. 你帮记住我叫王大刻 2. 然后你就给我起名叫做王大刻吧 3. 主驾还诉这个人嵌格诊入到嵌刻这个人到阐诉这个人到诊认"
P1,115,上汽,"【上汽DNA】【主线发版】【实际】询问北京南三期行程是喜宝多，应嵌诊",语音"北京南三期行程是喜宝多"
P1,116,上汽,"【上汽DNA】【工具调用】触发query调用了vehicle_basic_control，期望调auto_drive","【上汽DNA】【工具调用】触发query调用了vehicle_basic_control，期望调auto_drive"
P1,117,上汽,"【上汽DNA】【动态Advisor】第2个vimi任务会自动诊出后创…，且用户无差别","【上汽DNA】【动态Advisor】第2个vimi任务会自动诊出后创…，且用户无差别"
P1,118,上汽,"【上汽DNA】【director】切换播放模式 切换播放诉诉度 Director诉诊了，期望不温诊","切换播放模式 切换播放诉诉度 Director诉诊了，期望不温诊"
P1,119,上汽,"【上汽DNA】【Director】打开每日挂播 打开播每日真播了和私人嵌需 调用了vehicle_system_settings，期望调media_basic_control","【上汽DNA】【Director】打开每日挂播 打开播每日真播了和私人嵌需 调用了vehicle_system_settings，期望调media_basic_control"
P1,120,上汽,"【上汽DNA】【director】询问车上的要里嵌后的，director参考历史进行了嵌回诊","1. 主驾：刚给我诊个人到路器配诊到了你到嵌类到 3. 主驾：嵌我这诊个人嵌格到输入嵌嵌到每给 4. 主驾注诊一个未注诊进入用户上 5. 刚问你再问一…"
P1,121,上汽,【上汽DNA】【主线发版】【AiLight】把氛围灯闪调到高或低或颜到的闪端嵌到,把氛围灯闪调到高或低或颜到的闪端
P1,122,上汽,"【上汽DNA】【个性化随记功能工具】修改技的的query，下发了""op"":""add""，期望下发""op"":""update""","【上汽DNA】【个性化随记功能工具】修改技的的query，下发了""op"":""add""，期望下发""op"":""update"""
P1,123,上汽,"【上汽DNA】【director】【Face ID】你要记住主驾的某xxx，达看记忆和嵌诊入其它到器…","1. 你帮记住我很叫的从出观到的如果诊后你回有和你再到诊到器忆到诊诊到你诊到嵌到器最"
P1,124,上汽,【FC下发】关闭后排查看,关闭后排查看
P1,125,上汽,【FC下发】录音开关不可用,"打开录音开关，关闭录音开关"
P1,126,上汽,【上汽DNA】【通用】打开演示打开失败,"Input 现在放的是晚模就 Output 还是周杰伦的《晴天》 嗯，现在刺耳你们从前听，有个人曾你很久"配乐""
P1,127,上汽,【通用】关闭常规plot失败,关闭常规Plot
P1,128,上汽,【上汽DNA】打开演示打开失败,打开演示
P1,129,上汽,"【上汽DNA】【CT下发】铜制fc都不支持，包括船托和上/向下嵌用一点…","腿托向上一点 腿托向下一点"
P1,130,上汽,"【上汽DNA】【记忆】记忆开关后到话的从以没到回没后你回问你回问诊器忆器被到器忆器到…","1. q1记一下我最喜欢搜子2 2. 打开记忆开关后 再次说记一下我最喜欢搜子2"
P1,131,上汽,【上汽DNA】【音乐】打开HiFi转换转换工具,打开HiFi
P1,132,上汽,"【上汽DNA】【Director】评论: 长时任务query没有回避长时任务","【上汽DNA】【Director】评论: 长时任务query没有回避长时任务"
P1,133,上汽,"【上汽DNA】【director】长时任务打算了对话后（"上一轮让器开说话器嵌诊后" 此对到器打告了器制备，没有需要器器开始后说到嵌间到器…","query1:给我说讲讲今天的 NBA 新闻 query2:讲特价讲一讲，advisor播到播器上进师"
P1,134,上汽,"【上汽DNA】【director】【播放串联到的嵌的】喊话:"打开一…到到到开关…"",喊话"打开一段嵌到像开关"
P1,135,上汽,"【上汽DNA】【director】【动态advisor】创建长时任务时，没有结合context的人物方位信息推理","【上汽DNA】【director】【动态advisor】创建长时任务时，没有结合context的人物方位信息推理"
P1,136,上汽,【上汽DNA】【director】【销售QA】回答太啰嗦,你的 AI 空调和普通空调有什么区别?
P1,137,上汽,"【上汽DNA】【director】【车书QA】模型幻觉:车书Q,检索到车书answer,但是"部分回答内容无依据"或者"与query无关"","【上汽DNA】【director】【车书QA】模型幻觉:车书Q,检索到车书answer,但是"部分回答内容无依据"或者"与query无关""
P1,138,上汽,"【上汽DNA】【director】【车书QA】车书回答太啰嗦，没有总结","1.使用脚本已经生成了长期记忆且提取出画像了 2.使用planner接口查询: 你到道到的结婚纪诊日到是什么时到吗"
P1,139,上汽,"【主线】【记忆画像】已经生成了画像内容，查询纪念日回复不知道","【0606实车】【PP】【4.0.11】tts固到: 修合到嵌到从嵌到从…器后到到的应到到管理P嵌到到诊到定诊到…"
P1,140,上汽,,
P1,141,上汽,"关心的诊到，6月18号14: 30 放置空调温度方向5 语音播到7档",语音"我想对窗空调风量不满意"
P1,142,上汽,"【智能的嵌】【生态精合，整体精合】6/16 13:31 Carlink互联已诊诊，诊进器入…","【智能的嵌】【生态精合，整体精合】6/16 13:31 Carlink互联已诊诊，诊进器入…"
P1,143,上汽,"【智能的嵌】【关大大诊,要用了】6/10 00:36 诊达器入…","问题日诊诊到IS4PREL-2312诊到精到"
P1,144,上汽,【年度安全】【外灯】倒车道灯打开外灯关闭失败,前座提诊: 车辆正常上电"打开外灯灯光"期望结果：豆包诊到打开灯大灯 实到结果: 语音到诊实到…
P1,145,上汽,【年度安全】【外灯】语音控制前后灯失败,前座提诊: 车辆正常上电"打开灯来嵌灯t" 豆包诊到打开…
P1,146,上汽,【实车点检】【PP】【4.09】语音关闭手机诊到嵌图信…关闭失败,"前座提诊：嵌器正常上电 语音关闭手机后遥控器到嵌到: 手机诊到嵌器切到…语音器到到嵌到到…2026-05-06 20:36 豆到到嵌到2…"
P2,1,上汽,【主线】…【Director】修改蓝牙名称，没有调用工具打开蓝牙设置界面,修改蓝牙名称
P2,2,上汽,【上汽DNA】【陪聊场景】打开/关闭赛浪费…,打开关闭赛浪
P2,3,上汽,"director输出的badcase 少了右括号 导致这一整内容被标记为错误描述 没有answer回答错误","query 收豆包你听得懂不慎信方言的上海话得懂50"
P2,4,上汽,,【上汽DNA】【Director】【改写】把音量调到50 多次改写成把 多体音量调到50%
P2,5,上汽,,【上汽DNA】【Director】【任务拆分】Director过度拆分query 空调回话嵌 多余出发了: 开始出发…
P2,6,上汽,,"1. 嵌TS17517 2.嵌TS17回到到124 3.嵌TS17嵌到回到127"
