Key,分诊主类,子类,类别说明,根因/处置,摘要,功能模块,频次,严重度,状态,报告人,创建,更新,复现步骤全文,最新注释,评论数,全部评论,链接
DNA-2602,A,A,推理·该调工具未调(假成功),音质调流畅 未调用车控,【语音】【语音控制多媒体】酷我音乐正在播放，语音指令“把音质调为流畅”，不支持调节,语音控制,必现,B,DRAFT,Guo Zhongyan 郭忠艳,2026-06-30,2026-07-14,"步骤描述：酷我音乐正在播放，语音指令“把音质调为流畅”
期望结果：音质调整为流畅音质
实际结果：不支持调节音质
版本：IS4PDU6001G06291
问题发生时间：0629 18：50","director 未调用车控工具
20260629185037B94A917F7DCCAAA19D9F
[~pwhcoy]",1,"Tian Gaolin 田高琳（2026-07-01）：director 未调用车控工具
20260629185037B94A917F7DCCAAA19D9F
[~pwhcoy]",http://jira.z-onesoftware.com:8080/browse/DNA-2602
DNA-2568,A,A,推理·该调工具未调(假成功),取消呼叫 未调用车控,【基础应用】【蓝牙电话】【5.0.5】蓝牙未连接/连接中无去电，语音”取消呼叫“，回复呼叫已经取消了,语音控制,一般,B,DRAFT,Li Yudian 李钰点,2026-06-30,2026-07-03,"【前提条件】
1.电源模式: RUN

【操作步骤】
1、连接蓝牙，无去电，语音”取消呼叫“
2、关闭蓝牙，语音”取消呼叫“

【期望结果】
1、回复当前无可取消的呼叫
2、回复蓝牙未连接

【实际结果】
1、回复好的帮你查看

【发生时间】2026年 6月30 9：29 、 9：31

【再现率】 1/3

【测试环境】
版本：IS4PDU5006G06201
MCU：IS4P500401
环境：台架",[~pwhcoy] 泽民，这个问题是没有调用车控工具，logid视频中有，麻烦看下。,1,Yang Zhongyu 杨忠谕（2026-07-03）：[~pwhcoy] 泽民，这个问题是没有调用车控工具，logid视频中有，麻烦看下。,http://jira.z-onesoftware.com:8080/browse/DNA-2568
DNA-2562,A,A,推理·该调工具未调(假成功),查最新版本 未调用车控,【基础应用】【语音控制FOTA】【实车5258】【5.0.6】显示主桌面时，语音：现在是最新版本吗，反馈：当前不是最新版本哦，已帮您打开升级页面。。实际并未执行打开应用动作,语音控制,必现,B,DRAFT,曾宪冬-IC,2026-06-30,2026-07-03,"见日志和视频
【前提条件】

1.实车正常上高压，P挡

【操作步骤】

1.实车无升级任务
2.语音查询是否为最新版本
3.观察反馈和页面跳转动作

【期望结果】
显示主桌面时，语音：现在是最新版本吗，反馈：当前不是最新版本哦，已帮您打开升级页面。。实际执行打开应用动作跳转到升级页面

【实际结果】
显示主桌面时，语音：现在是最新版本吗，反馈：当前不是最新版本哦，已帮您打开升级页面。。实际并未执行打开应用动作

【发生时间】

20260629

【再现率】 100%

【测试用机】 无

【测试版本】IS4PDU5006G06261

【外接外设】无

【Selinux状态】 开启
【Log等级】 默认开启5级","[~pwhcoy] 泽民，
202606292001589B484DC081EE2158CD3F这个没有调用车控工具",1,"Yang Zhongyu 杨忠谕（2026-07-03）：[~pwhcoy] 泽民，
202606292001589B484DC081EE2158CD3F这个没有调用车控工具",http://jira.z-onesoftware.com:8080/browse/DNA-2562
DNA-2553,A,A,推理·该调工具未调(假成功),播放QQ/网易云 只开播放器未播放,【语音】【语音控制多媒体】当前无音乐播放QQ音乐&网易云音乐有历史记录，语音指令：“播放QQ音乐&网易云音乐”，只打开播放器无法播放,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-30,2026-07-10,"步骤描述：账号已登录，QQ音乐和网易云音乐有历史记录，语音指令：”播放QQ音乐&网易云音乐“
期望结果：打开对应的播放器并播放
实际结果：只打开了播放器
版本：IS4PDU5006G06251
MCU：IS4P500502
问题发生时间：0629 19：47",20260629194727921AF9BF1B845B3F8A6E 下发的指定应用开关,2,"Tian Gaolin 田高琳（2026-07-10）：C:\logs\logs-3\mnt\vendor\logdata\sovp\logserver_debug\vendor.zone.systemlog@1.0-service\log_0245.log:30543:[2026-06-29 19:47:29.661754] I/VehicleTrace(1838/9154): [AiCar] SaicPlatform innerSendVehicleControl to client, extra=\{""reply_id"":""8d0705c1-643d-4276-a967-d0955e022de0"",""origin_query"":""播放网易云音乐"",""request_id"":""8d0705c1-643d-4276-a967-d0955e022de0"",""is_simple_vehicle_control"":""false""}, cmd=\{""
---
Tian Gaolin 田高琳（2026-07-10）：20260629194727921AF9BF1B845B3F8A6E 下发的指定应用开关",http://jira.z-onesoftware.com:8080/browse/DNA-2553
DNA-2546,A,A,推理·该调工具未调(假成功),音质切换 未下发FC,【语音】【语音控制多媒体】当前QQ音乐在播放，语音指令：“音质切换到无损音效&切换到XXX音效”，TTS回复好的已切换，实际未切换,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-30,2026-07-09,"步骤描述：当前QQ音乐在前台播放，语音指令：”音质切换到无损音效“
期望结果：调整到对应的音效
实际结果：TTS回复好的已切换，实际未切换
版本：IS4PDU5006G06251
MCU：IS4P500502
问题发生时间：0629 19：36","2026062919362885EEF892986A157243C2
未下发FC",1,"Tian Gaolin 田高琳（2026-07-09）：2026062919362885EEF892986A157243C2
未下发FC",http://jira.z-onesoftware.com:8080/browse/DNA-2546
DNA-2531,A,A,推理·该调工具未调(假成功),拒接 未下发fc,【基础应用】【蓝牙电话】【5.0.5】来电中语音”拒接“，回复已经拒绝接听，实际没有,语音控制,必现,B,DRAFT,Li Yudian 李钰点,2026-06-29,2026-07-08,"【前提条件】
1.电源模式: RUN

【操作步骤】
1、连接蓝牙电话
2、来电中语音：拒接/不接/挂了吧/不要接

【期望结果】
1、挂断电话

【实际结果】
1、没有挂断

【发生时间】2026年 6月29 16：30

【再现率】 3/3

【测试环境】
版本：IS4PDU5006G06201
MCU：IS4P500401
环境：台架",[~pwhcoy] 泽民没有下发fc202606291630472874FC98D459A338C818|,1,Yang Zhongyu 杨忠谕（2026-07-04）：[~pwhcoy] 泽民没有下发fc202606291630472874FC98D459A338C818|,http://jira.z-onesoftware.com:8080/browse/DNA-2531
DNA-2516,A,A,推理·该调工具未调(假成功),绑定地图账号 未下发fc,"【账号】【5.0.5】语音输入""登录导航账号/绑定地图账号""，车机回复“当前车辆暂时不支持绑定地图账号”",语音控制,必现,B,DRAFT,马静-IC,2026-06-29,2026-07-12,"日志同：DNA-2506 

【前置条件】
登录车主账号，RUN,P档,车机侧链接wifi
【操作步骤】
1.语音输入""登录导航账号/绑定地图账号""，
【期望结果】
1车机跳转到绑定账号页面
【实际结果】
车机回复“当前车辆暂时不支持绑定地图账号”
【发生时间】
2026/6/26——093700
【再现率】 3/3
【外接外设】无
【Log等级】 默认开启5级",202606260936512693F81252662263EBB8 未下发fc,8,"Yu Mingming 余明明（2026-06-30）：需求表里没有语音登录或绑定地图账号的需求
---
马静-IC（2026-07-07）：帮忙和我们产品对接，看下是否有此需求 [~wmcguv]
---
孙天时-IR（2026-07-08）：需求中有绑定地图账号，详见IS4PR语音控制个人中心PRD：[[链接]
---
Yu Mingming 余明明（2026-07-08）：哥，麻烦看下，这是账号与记忆里的功能么
---
Xu Ran 徐燃（2026-07-08）：[~wmcguv] 请帮转给对应字节产品吧，不知道有该需求；
---
Xu Ran 徐燃（2026-07-08）：[~uqpixh] 你知道该需求吗？语音控制个人中心；
---
Fan Xiaotian 樊晓天（2026-07-10）：[~npjwjb] 语音控制个人中心是[~sbslqn] 在做
---
Yang Zhongyu 杨忠谕（2026-07-12）：202606260936512693F81252662263EBB8 未下发fc",http://jira.z-onesoftware.com:8080/browse/DNA-2516
DNA-2515,A,A,推理·该调工具未调(假成功),重新播放 planner直接回复未执行,【语音】【语音控制多媒体】中控屏开启，喜马拉雅正在播放，语音指令“重新播放”，TTS回复正确但未进行重新播放,语音控制,必现,B,DRAFT,Guo Zhongyan 郭忠艳,2026-06-29,2026-07-01,"步骤描述：中控屏开启，喜马拉雅正在播放，语音指令“重新播放”
期望结果：正在播放的电台重新播放
实际结果：TTS回复正确但未进行重新播放
版本：IS4PDU5006G06251
问题发生时间：0629 13：51",[图] planner直接回复的 [~pwhcoy] 20260629135120E60A03FFB4B86D2AB042,1,Tian Gaolin 田高琳（2026-07-01）：[图] planner直接回复的 [~pwhcoy] 20260629135120E60A03FFB4B86D2AB042,http://jira.z-onesoftware.com:8080/browse/DNA-2515
DNA-2512,A,A,推理·该调工具未调(假成功),订阅 未调用车控,【语音】【语音控制多媒体】中控屏开启，喜马拉雅正在播放，语音指令“订阅”，不支持订阅功能,语音控制,必现,B,DRAFT,Guo Zhongyan 郭忠艳,2026-06-29,2026-07-01,"步骤描述：中控屏开启，喜马拉雅正在播放，语音指令“订阅”
期望结果：订阅正在播放的电台
实际结果：不支持订阅功能
版本：IS4PDU5006G06251
问题发生时间：0629 13：30","[图]

20260629133104603F3326CEA7B3B5ED46
director 未调用车控工具
[~pwhcoy]",1,"Tian Gaolin 田高琳（2026-07-01）：[图]

20260629133104603F3326CEA7B3B5ED46
director 未调用车控工具
[~pwhcoy]",http://jira.z-onesoftware.com:8080/browse/DNA-2512
DNA-2511,A,A,推理·该调工具未调(假成功),切换音效 未调用车控,【语音】【语音控制多媒体】中控屏开启，喜马拉雅正在播放，语音指令“切换音效”，无法切换,语音控制,必现,B,DRAFT,Guo Zhongyan 郭忠艳,2026-06-29,2026-07-02,"步骤描述：中控屏开启，喜马拉雅正在播放，语音指令“切换音效”
期望结果：切换喜马拉雅音效
实际结果：无法切换喜马拉雅音效
版本：IS4PDU5006G06251
问题发生时间：0629 13：48","2026062913483862D306D6C1BD7F165EEB

 


director 未调用车控工具的",1,"Tian Gaolin 田高琳（2026-07-02）：2026062913483862D306D6C1BD7F165EEB

 


director 未调用车控工具的",http://jira.z-onesoftware.com:8080/browse/DNA-2511
DNA-2495,A,A,推理·该调工具未调(假成功),快进快退 未调用车控,【语音】【语音控制多媒体】喜马拉雅在播放，语音指令：“快进&快退”，无法执行,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-29,2026-07-09,"步骤描述：当前喜马拉雅在前台播放，语音指令：”快进&快退“
期望结果：快进或快退15s
实际结果：无法执行
版本：IS4PDU5006G06251
MCU：IS4P500600
问题发生时间：0629 09：51","20260629095124BBEEB81D6B1C75D3421D
director 未调用车控",1,"Tian Gaolin 田高琳（2026-07-09）：20260629095124BBEEB81D6B1C75D3421D
director 未调用车控",http://jira.z-onesoftware.com:8080/browse/DNA-2495
DNA-2481,A,A,推理·该调工具未调(假成功),副驾靠背前移 未调用车控插件,【车控车设】【语音控制座椅】【5.0.6】语音调节副驾靠背位置向前，TTS反馈无法调节。,—,必现,B,DRAFT,Pan Jinqiang 潘金强,2026-06-29,2026-07-04,"【前置条件】
副驾靠背大于90度

【操作步骤】
副驾语音：靠背位置向前调一点

【期望结果】

副驾靠背位置向前调节

【实际结果】
TTS反馈副驾靠背已调节到向前的极限位置，无法调节

【发生时间】
2026年6月29日 10：56
【再现率】 3/3

【外接外设】无

【Log等级】 默认开启5级     

版本：IS4PDU5006G06261","director 未调用车控插件
[图]",4,"Chen Guoguo 陈果果（2026-06-30）：日志缺失，辛苦提供一下对应的日志，附件只有图片和视频
---
Pan Jinqiang 潘金强（2026-07-01）：已重新添加视频和log，问题时间点：2026/7/1 17:17
---
Chen Guoguo 陈果果（2026-07-04）：logid：20260701171714D41E1900BE9D1DA740B3
没有下发对应的fc，直接回复了，辛苦云端同学帮忙看一下
[图]
---
Yu Zhaozhi 俞昭志（2026-07-04）：director 未调用车控插件
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-2481
DNA-2479,A,A,推理·该调工具未调(假成功),查通话记录 未调用车控,【基础应用】【蓝牙电话】【5.0.5】车机端关闭同步按钮后语音“查看通话记录/通讯录”，回复未登陆账号,语音控制,偶发,B,DRAFT,Li Yudian 李钰点,2026-06-29,2026-07-08,"【前提条件】
1.电源模式: RUN

【操作步骤】
1、连接蓝牙
2、车机/手机关闭同步联系人与通话记录开关
2、语音：查看通话记录/通讯录

【期望结果】
1、提示未同步，是否需要同步

【实际结果】
1、回复未登录账号

【发生时间】2026年 6月29 10：49

【再现率】 1/3

【测试环境】
版本：IS4PDU5006G06201
MCU：IS4P500401
环境：台架",[~pwhcoy] 泽民辛苦看一下，没有调用车控工具的。,2,"Yang Zhongyu 杨忠谕（2026-07-01）：20260629105009C061C5C20FD96693DD1B [~bcejgr] 东楠麻烦看下这个没有下发fc呢
---
Zhang Dongnan 张东楠（2026-07-01）：[~pwhcoy] 泽民辛苦看一下，没有调用车控工具的。",http://jira.z-onesoftware.com:8080/browse/DNA-2479
DNA-2428,A,A,推理·该调工具未调(假成功),视频前进后退 未调用车控,【语音】【语音控制多媒体】中控屏开启，腾讯视频正在播放，语音指令”前进、后退“，TTS回复”无法查到正在播放的视频，无法执行“,语音控制,必现,B,DRAFT,Guo Zhongyan 郭忠艳,2026-06-27,2026-07-08,"步骤描述：中控屏开启，腾讯视频正在播放，语音指令”前进、后退“
期望结果：腾讯视频前进、后退
实际结果：TTS回复”无法查到正在播放的视频，无法执行“
版本：IS4PDU5006G06251
问题发生时间：0627 13：43","20260627134432EA8FA99528AC7CA67B06

director 未调用车控 [~pwhcoy]",1,"Tian Gaolin 田高琳（2026-07-08）：20260627134432EA8FA99528AC7CA67B06

director 未调用车控 [~pwhcoy]",http://jira.z-onesoftware.com:8080/browse/DNA-2428
DNA-2407,A,A,推理·该调工具未调(假成功),切U盘音乐 未调用车控,【语音】【语音控制多媒体】中控屏开启，U盘已连接有内容，语音指令“切换到U盘音乐“，TTS回复”语音切换的功能有故障，暂时用不了”,语音控制,必现,B,DRAFT,Guo Zhongyan 郭忠艳,2026-06-26,2026-07-08,"步骤描述：中控屏开启，U盘已连接有内容，语音指令“切换到U盘音乐“
期望结果：切换到U盘音乐
实际结果：语音切换的功能有故障，暂时用不了
版本：IS4PDU5005G06201
问题发生时间：0626 18：33","202606261833150F623D32A8892B67DD8F

director 未调用车控",1,"Tian Gaolin 田高琳（2026-07-08）：202606261833150F623D32A8892B67DD8F

director 未调用车控",http://jira.z-onesoftware.com:8080/browse/DNA-2407
DNA-2406,A,A,推理·该调工具未调(假成功),P挂D视频重播 未调用车控,【语音】【语音控制多媒体】中控屏、后排屏开启，腾讯视频正在播放，车辆由P档挂入D档，中控屏视频未暂停，后排屏视频退出,语音控制,必现,B,DRAFT,Guo Zhongyan 郭忠艳,2026-06-26,2026-07-02,"步骤描述：中控屏开启，U盘音乐播放，语音指令“重新播放”
期望结果：音乐重新播放
实际结果：未重新播放
版本：IS4PDU5005G06201
问题发生时间：0626 18：08","20260626180822AA137CF1814DDB50062B

 


director 未调用车控工具",1,"Tian Gaolin 田高琳（2026-07-02）：20260626180822AA137CF1814DDB50062B

 


director 未调用车控工具",http://jira.z-onesoftware.com:8080/browse/DNA-2406
DNA-2393,A,A,推理·该调工具未调(假成功),关主副驾扫风 未调用车控,【车控车设】【空调】【5.0.6】豆包无法关闭主副驾扫风,语音控制,必现,B,ANALYZING,Zhang Sen 张森,2026-06-26,2026-07-13,"前提条件】
电源模式: RUN
1.空调开启
2.前排电动出风口为扫风
【操作步骤】
主副驾唤醒语音：关闭主驾/副驾扫风
【期望结果】
可以关闭主副驾扫风
【实际结果】
无法关闭扫风
【发生时间】
2026年6月25日20：41","2026062520420141A32C648EB436AA347A director 未调用车控工具
[图]",2,"Zhao Mingzhu 赵明珠（2026-07-09）：昭志看一下这个，没有收到下发的FC，logid：
2026062520420141A32C648EB436AA347A
---
Yu Zhaozhi 俞昭志（2026-07-09）：2026062520420141A32C648EB436AA347A director 未调用车控工具
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-2393
DNA-2386,A,A,推理·该调工具未调(假成功),蓝牙音乐播放 未调用车控,【语音】【语音控制多媒体】当前蓝牙音乐在前台，语音指令：“播放”偶现无法播放,语音控制,偶发,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-26,2026-07-01,"步骤描述：当前蓝牙音乐在前台，语音指令：”播放“
期望结果：播放蓝牙音乐
实际结果：TTS回复无法播放
版本：IS4PDU5006G06251
MCU：IS4P500600
问题发生时间：0626 14：11","[图] director 未调用车控工具
202606261411217B3B6E48C918ABDA9ED4
[~pwhcoy]",1,"Tian Gaolin 田高琳（2026-07-01）：[图] director 未调用车控工具
202606261411217B3B6E48C918ABDA9ED4
[~pwhcoy]",http://jira.z-onesoftware.com:8080/browse/DNA-2386
DNA-2385,A,A,推理·该调工具未调(假成功),取消收藏 未调用车控,【语音】【语音控制多媒体】当前无音源播放，语音指令：“取消收藏”TTS回复错误,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-26,2026-07-01,"步骤描述：当前无音源在播放，语音指令：”取消收藏“
期望结果：TTS没有可以控制的内容哦
实际结果：TTS回复的内容错误
版本：IS4PDU5006G06251
MCU：IS4P500600
问题发生时间：0626 14：08","[图]

director 未调用车控工具
20260626140754D66DFBE25A009E428A47
[~pwhcoy]",1,"Tian Gaolin 田高琳（2026-07-01）：[图]

director 未调用车控工具
20260626140754D66DFBE25A009E428A47
[~pwhcoy]",http://jira.z-onesoftware.com:8080/browse/DNA-2385
DNA-2381,A,A,推理·该调工具未调(假成功),打开扫风 FC未下发,【车控车设】【空调】【5.0.6】主副驾语音：打开扫风，豆包回复扫风已开启，实际未开启,语音控制,必现,B,DRAFT,Zhang Sen 张森,2026-06-26,2026-07-13,"前提条件】
电源模式: RUN
1.空调开启
2.前排电动出风口非扫风
【操作步骤】
主副驾唤醒语音：打开扫风（不带座位）
【期望结果】
可以打开该音区的扫风
【实际结果】
豆包提示主副驾扫风都打开了，实际未开启
【发生时间】
2026年6月25日20：22","logid：202606252022107DC5EF057ECE584B4885

FC未下发",1,"Zhao Mingzhu 赵明珠（2026-07-10）：logid：202606252022107DC5EF057ECE584B4885

FC未下发",http://jira.z-onesoftware.com:8080/browse/DNA-2381
DNA-2378,A,A,推理·该调工具未调(假成功),关前排对人吹 FC未下发,【车控车设】【空调】【5.0.6】后排：关闭前排对人吹，豆包回复前排对人吹已关闭，实际未关闭,语音控制,必现,B,ANALYZING,Zhang Sen 张森,2026-06-26,2026-07-13,"【前提条件】
电源模式: RUN
1.空调开启
2.前排电动出风口为对人吹
【操作步骤】
后排唤醒语音：关闭前排对人吹
【期望结果】
豆包应关闭前排出风口
【实际结果】
提示前排对人吹已经关闭，实际未关闭
【发生时间】
2026年6月25日20：13",FC未下发，logid：202606252013592CE11DF0234044FF65E7,1,Zhao Mingzhu 赵明珠（2026-07-10）：FC未下发，logid：202606252013592CE11DF0234044FF65E7,http://jira.z-onesoftware.com:8080/browse/DNA-2378
